dupl,new
320.0,1997957.0
321.0,1997958.0
322.0,1997959.0
323.0,1997960.0
324.0,1997961.0
325.0,1997962.0
326.0,1997963.0
327.0,1997964.0
328.0,1997965.0
329.0,1997966.0
330.0,1997967.0
331.0,1997968.0
332.0,1997969.0
333.0,1997970.0
334.0,1997971.0
335.0,1997972.0
336.0,1997973.0
337.0,1997974.0
338.0,1997975.0
339.0,1997976.0
340.0,1997977.0
341.0,1997978.0
342.0,1997979.0
343.0,1997980.0
344.0,1997981.0
345.0,1997982.0
346.0,1997983.0
347.0,1997984.0
348.0,1997985.0
349.0,1997986.0
350.0,1997987.0
351.0,1997988.0
352.0,1997989.0
353.0,1997990.0
354.0,1997991.0
355.0,1997992.0
356.0,1997993.0
357.0,1997994.0
358.0,1997995.0
359.0,1997996.0
360.0,1997997.0
361.0,1997998.0
362.0,1997999.0
363.0,1998000.0
364.0,1998001.0
365.0,1998002.0
366.0,1998003.0
367.0,1998004.0
368.0,1998005.0
369.0,1998006.0
370.0,1998007.0
371.0,1998008.0
372.0,1998009.0
373.0,1998010.0
374.0,1998011.0
375.0,1998012.0
376.0,1998013.0
377.0,1998014.0
378.0,1998015.0
379.0,1998016.0
380.0,1998017.0
381.0,1998018.0
382.0,1998019.0
383.0,1998020.0
384.0,1998021.0
385.0,1998022.0
386.0,1998023.0
387.0,1998024.0
388.0,1998025.0
389.0,1998026.0
390.0,1998027.0
391.0,1998028.0
392.0,1998029.0
393.0,1998030.0
394.0,1998031.0
395.0,1998032.0
396.0,1998033.0
397.0,1998034.0
398.0,1998035.0
399.0,1998036.0
400.0,1998037.0
401.0,1998038.0
402.0,1998039.0
403.0,1998040.0
404.0,1998041.0
405.0,1998042.0
406.0,1998043.0
407.0,1998044.0
408.0,1998045.0
409.0,1998046.0
410.0,1998047.0
411.0,1998048.0
412.0,1998049.0
413.0,1998050.0
414.0,1998051.0
415.0,1998052.0
416.0,1998053.0
417.0,1998054.0
418.0,1998055.0
419.0,1998056.0
420.0,1998057.0
421.0,1998058.0
422.0,1998059.0
423.0,1998060.0
424.0,1998061.0
425.0,1998062.0
426.0,1998063.0
427.0,1998064.0
428.0,1998065.0
429.0,1998066.0
430.0,1998067.0
431.0,1998068.0
432.0,1998069.0
433.0,1998070.0
434.0,1998071.0
435.0,1998072.0
436.0,1998073.0
437.0,1998074.0
438.0,1998075.0
439.0,1998076.0
440.0,1998077.0
441.0,1998078.0
442.0,1998079.0
443.0,1998080.0
444.0,1998081.0
445.0,1998082.0
446.0,1998083.0
447.0,1998084.0
448.0,1998085.0
449.0,1998086.0
450.0,1998087.0
451.0,1998088.0
452.0,1998089.0
453.0,1998090.0
454.0,1998091.0
455.0,1998092.0
456.0,1998093.0
457.0,1998094.0
458.0,1998095.0
459.0,1998096.0
460.0,1998097.0
461.0,1998098.0
462.0,1998099.0
463.0,1998100.0
464.0,1998101.0
465.0,1998102.0
466.0,1998103.0
467.0,1998104.0
468.0,1998105.0
469.0,1998106.0
